date,equity,cash,position_value
2023-10-09,10106.276432657534,2388.9231006417995,7717.353332015734
2023-10-10,10099.22862139542,2388.9231006417995,7710.30552075362
2023-10-11,10162.658922754452,2388.9231006417995,7773.735822112652
2023-10-12,10324.758581783091,2388.9231006417995,7935.835481141293
2023-10-13,10153.340955290709,2397.1310044946185,7756.20995079609
2023-10-16,10038.213743930792,10038.213743930792,0.0
2023-10-17,10038.213743930792,10038.213743930792,0.0
2023-10-18,10033.951468764086,2930.159524256269,7103.791944507817
2023-10-19,9938.065581291488,3312.902465319681,6625.163115971807
2023-10-20,9950.300416224032,3312.902465319681,6637.39795090435
2023-10-23,9830.156784153449,9830.156784153449,0.0
2023-10-24,9826.533899838327,3788.3933746356133,6038.140525202713
2023-10-25,9782.379307332274,3788.3933746356133,5993.985932696661
2023-10-26,9707.074753678013,9707.074753678013,0.0
2023-10-27,9707.074753678013,9707.074753678013,0.0
2023-10-30,9707.074753678013,9707.074753678013,0.0
2023-10-31,9703.819137998165,4277.79300492087,5426.026133077296
2023-11-01,9708.85723097224,4277.79300492087,5431.0642260513705
2023-11-02,9700.56352231832,9700.56352231832,0.0
2023-11-03,9697.32710837309,4303.303866325837,5394.023242047255
2023-11-06,9891.922433817635,3507.0781804837234,6384.844253333912
2023-11-07,9789.491777347037,3507.0781804837234,6282.4135968633145
2023-11-08,9837.29275036665,3507.0781804837234,6330.214569882927
2023-11-09,9765.248489573576,9765.248489573576,0.0
2023-11-10,9761.820304674606,4048.1788063899503,5713.641498284655
2023-11-13,9761.820304674606,4048.1788063899503,5713.641498284655
2023-11-14,9853.975812711455,4048.1788063899503,5805.797006321503
2023-11-15,9889.814065836897,4048.1788063899503,5841.635259446946
2023-11-16,9879.574564943912,4048.1788063899503,5831.395758553963
2023-11-17,9853.975812711455,4048.1788063899503,5805.797006321503
2023-11-20,9828.377060478997,4048.1788063899503,5780.198254089047
2023-11-21,9777.17955601408,4048.1788063899503,5729.00074962413
2023-11-22,9746.46105333513,4048.1788063899503,5698.28224694518
2023-11-23,9777.17955601408,4048.1788063899503,5729.00074962413
2023-11-24,9736.221552442148,4048.1788063899503,5688.042746052197
2023-11-27,9669.664796637757,4048.1788063899503,5621.4859902478065
2023-11-28,9642.740563867428,4501.695911722876,5141.044652144551
2023-11-29,9501.10420605538,9501.10420605538,0.0
2023-11-30,9501.10420605538,9501.10420605538,0.0
2023-12-01,9501.10420605538,9501.10420605538,0.0
2023-12-04,9501.10420605538,9501.10420605538,0.0
2023-12-05,9501.10420605538,9501.10420605538,0.0
2023-12-06,9501.10420605538,9501.10420605538,0.0
2023-12-07,9501.10420605538,9501.10420605538,0.0
2023-12-08,9501.10420605538,9501.10420605538,0.0
2023-12-11,9501.10420605538,9501.10420605538,0.0
2023-12-12,9501.10420605538,9501.10420605538,0.0
2023-12-13,9501.10420605538,9501.10420605538,0.0
2023-12-14,9501.10420605538,9501.10420605538,0.0
2023-12-15,9501.10420605538,9501.10420605538,0.0
2023-12-18,9501.10420605538,9501.10420605538,0.0
2023-12-19,9501.10420605538,9501.10420605538,0.0
2023-12-20,9501.10420605538,9501.10420605538,0.0
2023-12-21,9501.10420605538,9501.10420605538,0.0
2023-12-22,9501.10420605538,9501.10420605538,0.0
2023-12-25,9501.10420605538,9501.10420605538,0.0
2023-12-26,9501.10420605538,9501.10420605538,0.0
2023-12-27,9501.10420605538,9501.10420605538,0.0
2023-12-28,9501.10420605538,9501.10420605538,0.0
2023-12-29,9501.10420605538,9501.10420605538,0.0
2024-01-02,9501.10420605538,9501.10420605538,0.0
2024-01-03,9501.10420605538,9501.10420605538,0.0
2024-01-04,9501.10420605538,9501.10420605538,0.0
2024-01-05,9501.10420605538,9501.10420605538,0.0
2024-01-08,9501.10420605538,9501.10420605538,0.0
2024-01-09,9501.10420605538,9501.10420605538,0.0
2024-01-10,9501.10420605538,9501.10420605538,0.0
2024-01-11,9501.10420605538,9501.10420605538,0.0
2024-01-12,9501.10420605538,9501.10420605538,0.0
2024-01-15,9501.10420605538,9501.10420605538,0.0
2024-01-16,9501.10420605538,9501.10420605538,0.0
2024-01-17,9501.10420605538,9501.10420605538,0.0
2024-01-18,9501.10420605538,9501.10420605538,0.0
2024-01-19,9501.10420605538,9501.10420605538,0.0
2024-01-22,9501.10420605538,9501.10420605538,0.0
2024-01-23,9501.10420605538,9501.10420605538,0.0
2024-01-24,9501.10420605538,9501.10420605538,0.0
2024-01-25,9501.10420605538,9501.10420605538,0.0
2024-01-26,9501.10420605538,9501.10420605538,0.0
2024-01-29,9501.10420605538,9501.10420605538,0.0
2024-01-30,9501.10420605538,9501.10420605538,0.0
2024-01-31,9501.10420605538,9501.10420605538,0.0
2024-02-01,9501.10420605538,9501.10420605538,0.0
2024-02-02,9501.10420605538,9501.10420605538,0.0
2024-02-05,9501.10420605538,9501.10420605538,0.0
2024-02-06,9501.10420605538,9501.10420605538,0.0
2024-02-07,9501.10420605538,9501.10420605538,0.0
2024-02-08,9501.10420605538,9501.10420605538,0.0
2024-02-19,9501.10420605538,9501.10420605538,0.0
2024-02-20,9501.10420605538,9501.10420605538,0.0
2024-02-21,9501.10420605538,9501.10420605538,0.0
2024-02-22,9501.10420605538,9501.10420605538,0.0
2024-02-23,9501.10420605538,9501.10420605538,0.0
2024-02-26,9501.10420605538,9501.10420605538,0.0
2024-02-27,9501.10420605538,9501.10420605538,0.0
2024-02-28,9501.10420605538,9501.10420605538,0.0
2024-02-29,9501.10420605538,9501.10420605538,0.0
2024-03-01,9501.10420605538,9501.10420605538,0.0
2024-03-04,9501.10420605538,9501.10420605538,0.0
2024-03-05,9501.10420605538,9501.10420605538,0.0
2024-03-06,9501.10420605538,9501.10420605538,0.0
2024-03-07,9501.10420605538,9501.10420605538,0.0
2024-03-08,9501.10420605538,9501.10420605538,0.0
2024-03-11,9501.10420605538,9501.10420605538,0.0
2024-03-12,9501.10420605538,9501.10420605538,0.0
2024-03-13,9501.10420605538,9501.10420605538,0.0
2024-03-14,9501.10420605538,9501.10420605538,0.0
2024-03-15,9501.10420605538,9501.10420605538,0.0
2024-03-18,9501.10420605538,9501.10420605538,0.0
2024-03-19,9501.10420605538,9501.10420605538,0.0
2024-03-20,9501.10420605538,9501.10420605538,0.0
2024-03-21,9501.10420605538,9501.10420605538,0.0
2024-03-22,9501.10420605538,9501.10420605538,0.0
2024-03-25,9501.10420605538,9501.10420605538,0.0
2024-03-26,9501.10420605538,9501.10420605538,0.0
2024-03-27,9501.10420605538,9501.10420605538,0.0
2024-03-28,9501.10420605538,9501.10420605538,0.0
2024-03-29,9501.10420605538,9501.10420605538,0.0
2024-04-01,9501.10420605538,9501.10420605538,0.0
2024-04-02,9501.10420605538,9501.10420605538,0.0
2024-04-03,9501.10420605538,9501.10420605538,0.0
2024-04-08,9501.10420605538,9501.10420605538,0.0
2024-04-09,9501.10420605538,9501.10420605538,0.0
2024-04-10,9501.10420605538,9501.10420605538,0.0
2024-04-11,9501.10420605538,9501.10420605538,0.0
2024-04-12,9501.10420605538,9501.10420605538,0.0
2024-04-15,9501.10420605538,9501.10420605538,0.0
2024-04-16,9501.10420605538,9501.10420605538,0.0
2024-04-17,9501.10420605538,9501.10420605538,0.0
2024-04-18,9501.10420605538,9501.10420605538,0.0
2024-04-19,9501.10420605538,9501.10420605538,0.0
2024-04-22,9501.10420605538,9501.10420605538,0.0
2024-04-23,9501.10420605538,9501.10420605538,0.0
2024-04-24,9501.10420605538,9501.10420605538,0.0
2024-04-25,9501.10420605538,9501.10420605538,0.0
2024-04-26,9501.10420605538,9501.10420605538,0.0
2024-04-29,9501.10420605538,9501.10420605538,0.0
2024-04-30,9501.10420605538,9501.10420605538,0.0
2024-05-06,9501.10420605538,9501.10420605538,0.0
2024-05-07,9501.10420605538,9501.10420605538,0.0
2024-05-08,9501.10420605538,9501.10420605538,0.0
2024-05-09,9501.10420605538,9501.10420605538,0.0
2024-05-10,9501.10420605538,9501.10420605538,0.0
2024-05-13,9501.10420605538,9501.10420605538,0.0
2024-05-14,9501.10420605538,9501.10420605538,0.0
2024-05-15,9501.10420605538,9501.10420605538,0.0
2024-05-16,9501.10420605538,9501.10420605538,0.0
2024-05-17,9501.10420605538,9501.10420605538,0.0
2024-05-20,9501.10420605538,9501.10420605538,0.0
2024-05-21,9501.10420605538,9501.10420605538,0.0
2024-05-22,9501.10420605538,9501.10420605538,0.0
2024-05-23,9501.10420605538,9501.10420605538,0.0
2024-05-24,9501.10420605538,9501.10420605538,0.0
2024-05-27,9501.10420605538,9501.10420605538,0.0
2024-05-28,9501.10420605538,9501.10420605538,0.0
2024-05-29,9501.10420605538,9501.10420605538,0.0
2024-05-30,9501.10420605538,9501.10420605538,0.0
2024-05-31,9501.10420605538,9501.10420605538,0.0
2024-06-03,9501.10420605538,9501.10420605538,0.0
2024-06-04,9501.10420605538,9501.10420605538,0.0
2024-06-05,9501.10420605538,9501.10420605538,0.0
2024-06-06,9501.10420605538,9501.10420605538,0.0
2024-06-07,9501.10420605538,9501.10420605538,0.0
2024-06-11,9501.10420605538,9501.10420605538,0.0
2024-06-12,9501.10420605538,9501.10420605538,0.0
2024-06-13,9501.10420605538,9501.10420605538,0.0
2024-06-14,9501.10420605538,9501.10420605538,0.0
2024-06-17,9501.10420605538,9501.10420605538,0.0
2024-06-18,9501.10420605538,9501.10420605538,0.0
2024-06-19,9501.10420605538,9501.10420605538,0.0
2024-06-20,9501.10420605538,9501.10420605538,0.0
2024-06-21,9501.10420605538,9501.10420605538,0.0
2024-06-24,9501.10420605538,9501.10420605538,0.0
2024-06-25,9501.10420605538,9501.10420605538,0.0
2024-06-26,9501.10420605538,9501.10420605538,0.0
2024-06-27,9501.10420605538,9501.10420605538,0.0
2024-06-28,9501.10420605538,9501.10420605538,0.0
